continent,country
EUROPE,Allemagne
EUROPE,Belgique - Luxembourg
EUROPE,Danemark
EUROPE,Espagne
EUROPE,France
EUROPE,Grèce
EUROPE,Irlande
EUROPE,Italie
EUROPE,Pays-Bas
EUROPE,Portugal
EUROPE,Roumanie
EUROPE,Autres pays de l'U.E.
EUROPE,Suisse
EUROPE,Turquie
EUROPE,Royaume-Uni
EUROPE,Russie
EUROPE,Autres pays d'Europe
ASIE,Arabie Saoudite
ASIE,Bangladesh
ASIE,Corée du Nord
ASIE,Corée du Sud
ASIE,Emirats Arabes Unis
ASIE,Hong-Kong
ASIE,Iran
ASIE,Japon
ASIE,Pakistan
ASIE,Rép. Pop. de Chine
ASIE,Taiwan
ASIE,Union Indienne
ASIE,Autres pays d'Asie
AFRIQUE,Afrique du Sud
AFRIQUE,Djibouti
AFRIQUE,Egypte
AFRIQUE,Kenya
AFRIQUE,Ouganda
AFRIQUE,R.D.C. (1)
AFRIQUE,Rwanda
AFRIQUE,Tanzanie
AFRIQUE,Sud Soudan
AFRIQUE,Somalie
AFRIQUE,Zambie
AFRIQUE,Zimbabwe
AFRIQUE,Autres pays d'Afrique
AMERIQUE,Etats-Unis
AMERIQUE,Canada
AMERIQUE,Autres pays d'Amérique
OCEANIE,Australie
OCEANIE,Autres pays de l'Océanie
